Anim	Standing	Active	Lying	%HeadDown	DFL1	DFL2	DFL3	DFA12	DFA123	DBL1	DBL2	DBL3	DBA12	DBA123	X_Act	Y_Act	Steps	distance(m)	VarXY	DiffXY	MeanXY	prev_Active1	prev_Active2	prev_Active3	prev_Standing1	prev_Standing2	prev_Standing3	prev_Lying1	prev_Lying2	prev_Lying3	prev_steps1	prev_steps2	prev_steps3	prev_headdown1	prev_headdown2	prev_headdown3	Activity
a1	0.6934	0.3066	0	40	158.3	198.7	194.1	201.1	211.7	83.4	152.9	137.3	300.6	328.7	41	46	77	10	3.5355339059327378	5	43.5	0.1042	0.0942	0.2322	0.8958	0.9058	0.7678	0	0	0	22	21	55	73	14	1	W
a8	0.0664	0.2812	0.6522	0	5.2	166.1	147.5	171.3	211.5	165.4	162.8	169.9	199.7	292.4	2	0	72	1.85	1.4142135623730951	2	1	0.0738	0.1916	0.1166	0.9262	0.8084	0.8834	0	0	0	15	45	26	32	73	29	W
a8	0.278	0.722	0	3	180.9	27.7	152.4	346.3	476.1	64.9	208.3	189.7	217.3	324.3	78	10	185	65.81	48.08326112068523	68	44	0.2812	0.0738	0.1916	0.0664	0.9262	0.8084	0.6522	0	0	72	15	45	0	32	73	W
a1	0.2978	0.7022	0	7	248.8	209.4	195.5	328.1	392.9	165.6	4.8	249.9	326.7	573.7	182	10	178	60.98	121.62236636408618	172	96	0.3066	0.1042	0.0942	0.6934	0.8958	0.9058	0	0	0	77	22	21	40	73	14	W
a8	0.114	0.886	0	10	3.7	4.2	213.8	4.6	219.3	23.9	97.6	104.3	98	105.8	179	50	245	81.19	91.21677477306464	129	114.5	0.722	0.2812	0.0738	0.278	0.0664	0.9262	0	0.6522	0	185	72	15	3	0	32	W
a1	0.1284	0.8716	0	19	0.9	213.9	109.1	215.6	476.3	3.7	21	94.3	27.6	101.8	206	16	232	80.99	134.35028842544403	190	111	0.7022	0.3066	0.1042	0.2978	0.6934	0.8958	0	0	0	178	77	22	7	40	73	W
a8	0.2234	0.7766	0	9	159.5	37.4	191.1	282.3	437	179.2	66.9	89	364.6	510.4	89	36	204	34.82	37.476659402887016	53	62.5	0.886	0.722	0.2812	0.114	0.278	0.0664	0	0	0.6522	245	185	72	10	3	0	W
a1	0.2096	0.7904	0	13	212.9	230.7	85.9	231.1	436	52	1	20.6	104.7	126.1	208	13	208	30.16	137.88582233137677	195	110.5	0.8716	0.7022	0.3066	0.1284	0.2978	0.6934	0	0	0	232	178	77	19	7	40	W
a1	0.1238	0.8762	0	22	243.7	247.4	208.5	251.9	330.1	260.7	108.5	109.1	475.4	476.3	198	19	233	80.39	126.572113832392	179	108.5	0.7904	0.8716	0.7022	0.2096	0.1284	0.2978	0	0	0	208	232	178	13	19	7	W
a8	0.1118	0.8882	0	11	129.8	22.8	248.5	254	486.2	165.4	27.7	69.7	346.3	411.2	114	29	248	65.39	60.10407640085654	85	71.5	0.7766	0.886	0.722	0.2234	0.114	0.278	0	0	0	204	245	185	9	10	3	W
a1	0.4038	0.5962	0	10	174.4	97.5	12.2	409.4	504.4	104	143.2	182.1	296.5	346.2	120	34	151	97.53	60.81118318204309	86	77	0.8762	0.7904	0.8716	0.1238	0.2096	0.1284	0	0	0	233	208	232	22	13	19	W
a8	0.288	0.712	0	7	205	98.9	92.7	480.3	488	98.3	189	98.3	359.4	620.6	94	30	186	85.49	45.254833995939045	64	62	0.8882	0.7766	0.886	0.1118	0.2234	0.114	0	0	0	248	204	245	11	9	10	W
a8	0.4314	0.5686	0	19	232.2	130.5	216.5	376.8	510.1	124.2	22.8	151.7	254	419.4	108	28	155	63.14	56.56854249492381	80	68	0.712	0.8882	0.7766	0.288	0.1118	0.2234	0	0	0	186	248	204	7	11	9	R
a1	0.4382	0.5618	0	19	177.5	154.4	37.7	227.4	362.8	206.5	136.8	37	281.5	411.6	186	34	150	52.64	107.48023074035522	152	110	0.5962	0.8762	0.7904	0.4038	0.1238	0.2096	0	0	0	151	233	208	10	22	13	G
a1	0.7938	0.2062	0	5	168	68.8	141.4	374.9	529.9	132.7	171.2	140.9	201	257.2	56	8	53	36.53	33.94112549695428	48	32	0.5618	0.5962	0.8762	0.4382	0.4038	0.1238	0	0	0	150	151	233	19	10	22	R
a8	0.9288	0.0712	0	31	43.7	195.7	153.8	282	334.8	178.9	174.6	175.2	247	254	16	38	17	7.34	15.556349186104043	22	27	0.5686	0.712	0.8882	0.4314	0.288	0.1118	0	0	0	155	186	248	19	7	11	G
a8	0.484	0.1926	0.3234	55	154.7	155	167.4	158.1	201.6	122.8	37.4	143.5	282.3	461.5	6	64	54	34.61	41.012193308819754	58	35	0.0712	0.5686	0.712	0.9288	0.4314	0.288	0	0	0	17	155	186	31	19	7	R
